const_c,conservative,labour,ld,other,spoil,winner,true_winner,match
E14000892,23880,29070,2937,2515,107,labour,conservative,0
E14000893,29600,18975,12068,2840,2575,conservative,conservative,1
E14000894,41124,14280,6579,2800,1494,conservative,conservative,1
E14000895,26156,20993,9865,8387,3555,conservative,conservative,1
E14000896,37998,10700,28358,3039,581,conservative,liberal_dem,0
E14000897,36479,15423,6050,3905,810,conservative,labour,0
E14000898,31950,15621,16011,2998,2433,conservative,conservative,1
E14000899,30467,18633,5340,5804,2353,conservative,conservative,1
E14000900,32599,14496,6132,5974,2658,conservative,conservative,1
E14000901,26297,15521,11934,3230,1563,conservative,conservative,1
E14000902,38571,10391,6873,2856,2395,conservative,conservative,1
E14000903,21701,24492,5698,7856,1272,labour,conservative,0
E14000904,17825,28081,5492,3027,23,labour,labour,1
E14000905,27099,29317,7118,2844,364,labour,conservative,0
E14000906,31977,15742,11106,3448,925,conservative,conservative,1
E14000907,30027,19029,14104,3829,1866,conservative,conservative,1
E14000908,23044,30471,5064,5314,1321,labour,conservative,0
E14000909,26515,27725,5333,6746,2724,labour,conservative,0
E14000910,33937,24361,8590,4970,521,conservative,conservative,1
E14000911,42176,22671,8557,5009,1218,conservative,labour,0
E14000912,23553,29604,5122,4313,948,labour,conservative,0
E14000913,24037,20172,14745,2874,1434,conservative,conservative,1
E14000914,19571,25362,5041,2824,529,labour,conservative,0
E14000915,29635,15013,3857,4932,185,conservative,conservative,1
E14000916,35088,11673,4656,2785,1428,conservative,labour,0
E14000917,24257,25851,8982,4469,2239,labour,conservative,0
E14000918,27217,14383,11664,2637,2177,conservative,conservative,1
E14000919,19091,40700,8605,6366,414,labour,labour,1
E14000920,19951,26398,5217,2948,540,labour,labour,1
E14000921,17281,28823,5799,7185,271,labour,labour,1
E14000922,17138,25255,17523,2729,183,labour,labour,1
E14000923,18889,28874,7308,2695,221,labour,labour,1
E14000924,25886,24264,3140,6511,4189,conservative,conservative,1
E14000925,22925,24817,5522,4381,3178,labour,conservative,0
E14000926,29601,30442,5211,4274,542,labour,conservative,0
E14000927,36592,15764,8102,4699,7047,conservative,conservative,1
E14000928,26140,21025,10878,4450,4185,conservative,conservative,1
E14000929,29489,27854,8803,6752,4038,conservative,conservative,1
E14000930,30772,43678,9701,3491,22,labour,labour,1
E14000931,28447,25085,6262,2517,1807,conservative,conservative,1
E14000932,25520,27664,12163,4948,1486,labour,conservative,0
E14000933,28014,23871,4751,3406,105,conservative,conservative,1
E14000934,33703,25546,11450,4262,580,conservative,conservative,1
E14000935,28146,25339,2838,3797,5931,conservative,conservative,1
E14000936,24369,21929,6359,5415,2596,conservative,conservative,1
E14000937,34510,20393,13426,4057,1632,conservative,conservative,1
E14000938,26038,18757,5318,4370,5329,conservative,conservative,1
E14000939,28508,24502,3183,4432,4828,conservative,conservative,1
E14000940,25284,31317,4557,5542,1187,labour,conservative,0
E14000941,34435,23352,8124,4862,509,conservative,conservative,1
E14000942,27859,36122,5520,6355,1416,labour,conservative,0
E14000943,38153,14009,6526,3937,754,conservative,conservative,1
E14000944,27815,14987,3332,2430,346,conservative,labour,0
E14000945,28718,20843,5535,2920,2980,conservative,conservative,1
E14000946,32397,13953,7351,5311,3179,conservative,conservative,1
E14000947,24530,32740,3131,4608,1697,labour,conservative,0
E14000948,30270,18912,7992,2818,2251,conservative,conservative,1
E14000949,31930,18716,11061,3687,3493,conservative,conservative,1
E14000950,21886,18803,10415,4048,3273,conservative,conservative,1
E14000951,31231,23587,8785,4719,457,conservative,conservative,1
E14000952,32526,23032,8707,3921,200,conservative,conservative,1
E14000953,29640,12966,26791,2620,740,conservative,conservative,1
E14000954,25344,24582,6965,5855,2654,conservative,conservative,1
E14000955,26968,23903,10871,4315,1006,conservative,conservative,1
E14000956,27336,19945,12807,3661,2060,conservative,labour,0
E14000957,28887,18654,4059,2885,1737,conservative,conservative,1
E14000958,37435,12197,7230,2880,926,conservative,conservative,1
E14000959,28284,16812,12165,3465,1842,conservative,conservative,1
E14000960,26390,19989,14692,5227,185,conservative,liberal_dem,0
E14000961,26369,24599,7033,4742,3703,conservative,conservative,1
E14000962,36449,15809,5111,3048,652,conservative,labour,0
E14000963,39587,14886,4292,4480,1576,conservative,labour,0
E14000964,22245,15492,9621,4110,4201,conservative,conservative,1
E14000965,28171,24511,3567,3280,2562,conservative,conservative,1
E14000966,22049,20847,3446,2985,349,conservative,conservative,1
E14000967,34062,13545,5552,3579,722,conservative,labour,0
E14000968,27120,20899,6652,4066,425,conservative,conservative,1
E14000969,30381,13399,5673,3355,768,conservative,labour,0
E14000970,30931,17103,3663,4584,361,conservative,labour,0
E14000971,34632,18462,5391,3989,561,conservative,conservative,1
E14000972,20835,25264,2272,2250,154,labour,conservative,0
E14000973,23735,22229,2315,5506,852,conservative,conservative,1
E14000974,21353,31847,2677,2422,0,labour,conservative,0
E14000975,24993,24004,4209,3452,457,conservative,conservative,1
E14000976,23942,24415,3830,3380,345,labour,conservative,0
E14000977,28458,20081,4862,6609,3728,conservative,conservative,1
E14000978,28936,33032,12083,4445,32,labour,labour,1
E14000979,34739,14876,6397,3799,849,conservative,labour,0
E14000980,25641,25419,5283,8502,2346,conservative,conservative,1
E14000981,34084,21071,7636,4587,484,conservative,conservative,1
